!,"ID for suite of sites or experiments","Name of experiment, field test or survey",Field Overlay (DOME) ID,Seaonal Strategy (DOME) ID,Rotational Analysis (DOME) ID,,Treatment Name,4-character Climate ID code,Climate replication number for multiple realizations of weather data (ask Alex),Region ID,Regional stratum identification number,RAP ID,"Management regimen ID, for multiple management regimens per RAP",Names of institutions involved in collection of field or survey data,"Crop rotation indicator (=1 to indicate that this is a continuous, multi-year simulation, =0 for single year simulations)",Weather station ID,Soil ID,Site Latitude,Site Longitude,Crop type (common name) ,Crop model-specific cultivar ID,Cultivar name,Start of simulation date,Planting date,"Observed harvested yield, dry weight",Observed total above-ground biomass at harvest,Observed harvest date,Total number of irrigation events,Total amount of irrigation,Type of irrigation application,Total number of fertilizer applications,Total N applied,Total P applied,Total K applied,Manure and applied oganic matter,Total number of tillage applications,"Tillage type (hand, animal or mechanized)",Experiment ID,Weather ID,Soil ID,DOME ID for Overlay,DOME ID for Seasonal  ,DOME ID for Rotational ,"Short name of crop model used for simulations (e.g., DSSAT, APSIM, Aquacrop, STICS, etc.)",Model name and version number of the crop model used to generate simulated outputs,"Simulated harvest yield, dry matter","Simulated above-ground biomass at harvest, dry matter",Simulated anthesis date,Simulated maturity date,Simulated harvest date,"Simulated leaf area index, maximum",Total precipitation from planting to harvest,"Simulated evapotranspiration, planting to harvest",Simulated N uptake during season,Simulated N leached up to harvest maturity
!,text,text,text,text,text,number,text,code,number,code,number,code,code,text,number,text,text,decimal degrees,decimal degrees,text,text,text,yyyy-mm-dd,yyyy-mm-dd,kg/ha,kg/ha,yyyy-mm-dd,number,mm,text,number,kg[N]/ha,kg[P]/ha,kg[K]/ha,kg/ha,#,text,text,text,text,text,text,text,text,text,kg/ha,kg/ha,yyyy-mm-dd,yyyy-mm-dd,yyyy-mm-dd,m2/m2,mm,mm,kg/ha,kg/ha
#,SUITE_ID,EXNAME,FIELD_OVERLAY,SEASONAL_STRATEGY,ROTATIONAL_ANALYSIS,RUN#,TRT_NAME,CLIM_ID,CLIM_REP,REG_ID,STRATUM,RAP_ID,MAN_ID,INSTITUTION,ROTATION,WST_ID,SOIL_ID,FL_LAT,FL_LONG,CRID_text,CUL_ID,CUL_NAME,SDAT,PDATE,HWAH,CWAH,HDATE,IR#C,IR_TOT,IROP_text,FE_#,FEN_TOT,FEP_TOT,FEK_TOT,OM_TOT,TI_#,TIIMP_text,EID,WID,SID,DOID,DSID,DRID,CROP_MODEL,MODEL_VER,HWAH_S,CWAH_S,ADAT_S,MDAT_S,HADAT_S,LAIX_S,PRCP_S,ETCP_S,NUCM_S,NLCM_S
*,,"UFGA8201_1","APSIM-1----FIELD","","",1,"RAINFED LOW NITROGEN","0XXX",1,"APSIM","1",,,AgMIP,0,UFGA,IBMZ910014,29.630,-82.370,"Maize",IB0035,"McCurdy 84aa",,1982-02-26,,,,1,13,"Furrow, mm",3,116,0,0,,,"","37ad0239fe3d926b8e0e6ef9f9938f5e122a4ac8144016251d5cc4f41974b500","1206d732f1e084bb0114b0234cb184c0695a4c2151524305ed3eb7939af9a96e","744e23292ab55cc5f9c0cfd203b469e6e25fc417c78fcbe73d2b4b6e3241ba17","0da7308dedb3b1588566fa677dbcaee7000eecfac6e360d1755e98a5a0db5615","","",DSSAT,"DSSAT MZCER046 Ver. 4.6.0.026 -nwheat","1976","6355","1982-05-13","1982-07-03","1982-07-03","2.3","660.7","344.4","101","30"
*,,"UFGA8201_2","APSIM-1----FIELD","","",1,"RAINFED HIGH NITROGEN","0XXX",1,"APSIM","1",,,AgMIP,0,UFGA,IBMZ910014,29.630,-82.370,"Maize",IB0035,"McCurdy 84aa",,1982-02-26,,,,1,13,"Furrow, mm",6,401,0,0,,,"","ce69e1ce517ba1cc7797245de0b367da239e59b8ad174d1d84d79a08bd99ff74","1206d732f1e084bb0114b0234cb184c0695a4c2151524305ed3eb7939af9a96e","744e23292ab55cc5f9c0cfd203b469e6e25fc417c78fcbe73d2b4b6e3241ba17","0da7308dedb3b1588566fa677dbcaee7000eecfac6e360d1755e98a5a0db5615","","",DSSAT,"DSSAT MZCER046 Ver. 4.6.0.026 -nwheat","2655","7510","1982-05-13","1982-07-03","1982-07-03","3.0","660.7","358.6","127","80"
*,,"UFGA8201_3","APSIM-1----FIELD","","",1,"IRRIGATED LOW NITROGEN","0XXX",1,"APSIM","1",,,AgMIP,0,UFGA,IBMZ910014,29.630,-82.370,"Maize",IB0035,"McCurdy 84aa",,1982-02-26,,,,16,264,"Furrow, mm",3,116,0,0,,,"","0979ebf15550b6d0efd8671e47857e2679057e3bfb0f82c2b85a0a94cde65d5e","1206d732f1e084bb0114b0234cb184c0695a4c2151524305ed3eb7939af9a96e","744e23292ab55cc5f9c0cfd203b469e6e25fc417c78fcbe73d2b4b6e3241ba17","0da7308dedb3b1588566fa677dbcaee7000eecfac6e360d1755e98a5a0db5615","","",DSSAT,"DSSAT MZCER046 Ver. 4.6.0.026 -nwheat","8677","15563","1982-05-13","1982-07-03","1982-07-03","2.9","660.7","494.5","155","30"
*,,"UFGA8201_4","APSIM-1----FIELD","","",1,"IRRIGATED HIGH NITROGEN","0XXX",1,"APSIM","1",,,AgMIP,0,UFGA,IBMZ910014,29.630,-82.370,"Maize",IB0035,"McCurdy 84aa",,1982-02-26,,,,16,264,"Furrow, mm",6,401,0,0,,,"","4fdd4aeefe0e496b4b44f32a2b0e32a1fadf390eaa848e50b1d24547f7b58a7d","1206d732f1e084bb0114b0234cb184c0695a4c2151524305ed3eb7939af9a96e","744e23292ab55cc5f9c0cfd203b469e6e25fc417c78fcbe73d2b4b6e3241ba17","0da7308dedb3b1588566fa677dbcaee7000eecfac6e360d1755e98a5a0db5615","","",DSSAT,"DSSAT MZCER046 Ver. 4.6.0.026 -nwheat","11298","22162","1982-05-13","1982-07-03","1982-07-03","4.6","660.7","493.3","250","137"
*,,"UFGA8201_5","APSIM-1----FIELD","","",1,"VEG STRESS LOW NITROGEN","0XXX",1,"APSIM","1",,,AgMIP,0,UFGA,IBMZ910014,29.630,-82.370,"Maize",IB0035,"McCurdy 84aa",,1982-02-26,,,,13,201,"Furrow, mm",3,116,0,0,,,"","5a323c7dc08ebcde2b9146a3bc9384c81a06a2f2a236cd9508e76aa33b143011","1206d732f1e084bb0114b0234cb184c0695a4c2151524305ed3eb7939af9a96e","744e23292ab55cc5f9c0cfd203b469e6e25fc417c78fcbe73d2b4b6e3241ba17","0da7308dedb3b1588566fa677dbcaee7000eecfac6e360d1755e98a5a0db5615","","",DSSAT,"DSSAT MZCER046 Ver. 4.6.0.026 -nwheat","7877","14295","1982-05-13","1982-07-03","1982-07-03","2.9","660.7","459.6","150","30"
*,,"UFGA8201_6","APSIM-1----FIELD","","",1,"VEG STRESS HIGH NITROGEN","0XXX",1,"APSIM","1",,,AgMIP,0,UFGA,IBMZ910014,29.630,-82.370,"Maize",IB0035,"McCurdy 84aa",,1982-02-26,,,,13,201,"Furrow, mm",6,401,0,0,,,"","72467c3808c569628c03b52360b928e0a0efd3f870bfda69eb5082c0d013c704","1206d732f1e084bb0114b0234cb184c0695a4c2151524305ed3eb7939af9a96e","744e23292ab55cc5f9c0cfd203b469e6e25fc417c78fcbe73d2b4b6e3241ba17","0da7308dedb3b1588566fa677dbcaee7000eecfac6e360d1755e98a5a0db5615","","",DSSAT,"DSSAT MZCER046 Ver. 4.6.0.026 -nwheat","9806","18885","1982-05-13","1982-07-03","1982-07-03","4.0","660.7","462.4","225","135"
